"Czy liczba pierwsza może być liczbą parzystą?";"TAK (jedyna to 2)";"Matematyka"
"«Bez ustanku» piszemy razem czy rozdzielnie?";"Razem";"Język Polski"
"Jak nazywa się tytułowy bohater powieści Daniela Defoe?";"Robinson Kruzoe";"Literatura światowa"
"Na co wlazł kotek w popularnej dziecięcej piosence?";"Na płotek";"Piosenki dziecięce"
"Czy żyjący w Polsce żółw błotny jest objęty ochroną gatunkową?";"TAK";"Zoologia"
"Kto jest głową państwa w Nowej Zelandii?";"Monarcha brytyjski (obecnie król Karol III)";"Polityka i Politycy"
"Czy w walkach sumo czas pojedynku jest limitowany?";"NIE (bój kończy się wyjściem lub upadkiem)";"Sport"
"W jakim państwie urodził się Alfred Nobel?";"W Szwecji";"Nauka"
"W kogo wcielił się Stanisław Mikulski w serialu «Stawka większa niż życie»?";"Hansa Klossa";"Telewizja"
"Co w cukiernictwie oznacza słowo «kuwertura»?";"Płynna masa czekoladowa do oblewania";"Dania i Napoje"
"Jak nazywa się melodia grana co godzinę z wieży Kościoła Mariackiego w Krakowie?";"Hejnał mariacki";"Powiedzenia i Przysłowia"
"Czy paź królowej występuje na terenie Polski?";"TAK";"Biologia"
"Z którego państwa pochodzą filmy określane mianem «bollywoodzkich»?";"Z Indii";"Film"
"Czy Krzemowa Dolina leży w Tatrach?";"NIE (w Kalifornii)";"Geografia"
"Gdzie – według przysłowia – nie należy wkładać palca?";"Między drzwi";"Powiedzenia i Przysłowia"
"Przez które morze Mojżesz przeprowadził Izraelitów?";"Przez Morze Czerwone";"Kościoły i Religie Świata"
"Jakiej narodowości był Dante Alighieri?";"Włoskiej";"Literatura światowa"
"Kto zaśpiewał tytułową piosenkę do kreskówki o Pszczółce Mai w polskiej wersji?";"Zbigniew Wodecki";"Muzyka: Pop"
"Jaką funkcję pełnił Klemens Kordecki w klasztorze paulinów?";"Przeor";"Historia Polski"
"Czy witaminy A i D występują w tranie?";"TAK";"Biologia"
"Na czym opiera się praca w manufakturze: na pracy ręcznej czy taśmowej?";"Na pracy ręcznej";"Historia techniki"
"Jak w dawnej Polsce nazywał się pierwszy sejm zwoływany w okresie bezkrólewia?";"Sejm konwokacyjny";"Historia Polski"
"Kształt której figury geometrycznej ma diabelski młyn?";"Koła";"Matematyka"
"Sake tradycyjnie pije się na ciepło czy na zimno?";"Na ciepło";"Dania i Napoje"
"W którym wieku powstał Uniwersytet Moskiewski (Lomonosowa)?";"W XVIII w. (1755)";"Historia świata"
"Niob – pierwiastek chemiczny czy grecki bóg?";"Pierwiastek chemiczny";"Chemia"
"Jak miał na imię Stradivarius?";"Antonio";"Muzyka: Instrumenty"
"Przez jakie «h» piszemy słowo «czyhać»?";"Przez «h»";"Język Polski"
"Częścią którego utworu A. Fredry jest wiersz «Paweł i Gaweł»?";"«Pan Jowialski»";"Literatura Polska"
"Z którego kontynentu pochodzi ojciec Baracka Obamy?";"Z Afryki";"Polityka i Politycy"
"Czy tytuł opery Verdiego «La Traviata» jest imieniem głównej bohaterki?";"NIE (bohaterka nazywa się Violetta Valéry)";"Muzyka: Opera"
"Przedstawicielem której epoki literackiej był francuski pisarz Stendhal?";"Romantyzmu";"Literatura światowa"
"Malaga to miasto portowe w Hiszpanii czy w Portugalii?";"W Hiszpanii";"Geografia"
"Jak w starożytnej Grecji nazywał się tor wyścigowy dla koni i zaprzęgów?";"Hipodrom";"Historia antyczna"
"W godle którego europejskiego kraju widnieje harfa?";"Irlandii";"Symbole państw"
"W którym roku Rudolf Hess uciekł samotnie do Wielkiej Brytanii?";"1941 r.";"Historia XX w."
"Jak nazywa się polska wokalistka, która stworzyła formację Bem & Beck?";"Ewa Bem";"Muzyka Polska"
"Czy w zakończeniu powieści «W pustyni i w puszczy» Staś i Nel zostają parą?";"TAK";"Literatura Polska"
"Która europejska rzeka przepływa przez największą liczbę państw?";"Dunaj";"Geografia"
"Boreasz to bóg wiatru północnego czy południowego?";"Północnego";"Mitologia Grecka i Rzymska"
"Jak nazywa się kościelny mebel służący jako miejsce spowiedzi?";"Konfesjonał";"Kościoły i Religie Świata"
"Ile wynosi cztery podniesione do sześcianu?";"64";"Matematyka"
"Czy Jazon zdobył złote runo?";"TAK";"Mitologia Grecka i Rzymska"
"Jak nazywa się wyspa w zatoce San Francisco, na której mieściło się ciężkie więzienie federalne?";"Alcatraz";"Geografia"
"Na którym warszawskim placu stoi Grób Nieznanego Żołnierza?";"Na placu Piłsudskiego";"Historia Nowożytna"
"Na którym kontynencie w naturze występuje papużka falista?";"W Australii";"Zoologia"
"Co w dosłownym tłumaczeniu oznacza słowo «Budda»?";"Oświecony";"Filozofia"
"Czy etamina to tkanina czy lekarstwo?";"Tkanina";"Moda i Ubiory"
"z ilu ksiąg składa się «Pan Tadeusz»?";"dwanaście";"Literatura Polska"
"w którym wieku urodził się Mahatma Gandhi?";"XIX w.";"Wielcy Wodzowie i Przywódcy"
"w której dziedzinie w 1919 r. Woodrow Wilson otrzymał Nagrodę Nobla?";"Pokojowa";"Nagrody i Odznaczenia"
"podróż kolejką linową z Kuźnic na Kasprowy Wierch odbywa się z przesiadką czy bezpośrednio?";"Z przesiadką";"Transport"
"w którym mieście — według legendy — król Chrobry wyszczerbił miecz koronacyjny?";"Kijów";"Historia Polski"
"jakiej narodowości był Vincent van Gogh?";"Holender";"Malarstwo, Rzeźba, Architektura"
"nazwa którego południowoamerykańskiego państwa rozpoczyna się na literę W?";"Wenezuela";"Geografia Polityczna"
"Mesalina to symbol kobiety rozpustnej czy wiernej?";"Rozpustnej";"Historia Starożytna"
"który niemiecki generał podpisał 7 V 1945 akt bezwarunkowej kapitulacji Wehrmachtu?";"Gen. Alfred Jodl";"II Wojna Światowa"
"jak miał na imię Rubinstein, światowej sławy polski pianista?";"Artur";"Muzyka: Klasyka Światowa"
"w którym mieście odbyły się Letnie Igrzyska Olimpijskie 1924, gdzie debiutowała ekipa Polski?";"Paryż";"Igrzyska Olimpijskie"
"kirasjer to żołnierz jazdy lekkiej czy ciężkiej?";"Ciężkiej";"Armie Świata"
"w którym filmie Michelangelo Antonioniego z 1975 r. Jack Nicholson zagrał główną rolę?";"«Zawód: Reporter»";"Film i Telewizja"
"jaki przedrostek oznacza 1 / 100 danej wielkości?";"Centi-";"Miary i Wagi"
"uczestnikiem którego powstania był malarz Maksymilian Gierymski?";"Styczniowego";"Historia Polski"
"jak nazywa się najdłuższy odcinek przewodu pokarmowego?";"Jelito cienkie";"Biologia"
"czy granice współczesnej Rosji pokrywają się z granicami ZSRR?";"NIE";"ZSRR: Polityka, Historia, Gospodarka"
"w którym województwie leży Zalew Zegrzyński?";"Mazowieckim";"Polska: Geografia"
"w jakim stylu architektonicznym wzniesiono pałac w Wilanowie?";"Barokowym";"Malarstwo, Rzeźba, Architektura"
"czy pięć brytyjskich stóp to więcej czy mniej niż 1,80 m?";"Mniej";"Miary i Wagi"
"jak nazywamy dźwięk wydawany przez bociany?";"Klekot";"Zoologia"
"ile okrętów podwodnych miała Polska we wrześniu 1939 r.?";"Pięć";"Polska: Historia"
"jakie imiona nosili dwaj pierwsi synowie Adama i Ewy?";"Kain i Abel";"Biblia: Stary i Nowy Testament"
"na którym morzu leży Zatoka Wielka Syrta?";"Na Morzu Śródziemnym";"Morza i Oceany"
"kto jest autorem książki «Pianista»?";"Władysław Szpilman";"Literatura Współczesna"
"w którym państwie został zamordowany Lew Trocki?";"W Meksyku";"ZSRR: Polityka, Historia, Gospodarka"
"który polski malarz stworzył obraz «Nocne przygody Jana Olbrachta z Kallimachem»?";"Jan Matejko";"Malarstwo, Rzeźba, Architektura"
"jak z łaciny nazywa się uroczystość przyjęcia nowych studentów na pierwszy rok studiów?";"Immatrykulacja";"Edukacja"
"czy jeden akr to więcej czy mniej niż hektar?";"Mniej";"Miary i Wagi"
"w którym mieście Madame Marie Tussaud założyła galerię figur woskowych?";"W Londynie";"Malarstwo, Rzeźba, Architektura"
"która grupa górska jest najwyższa w Karpatach?";"Tatry";"Geografia Fizyczna"
"«Błękitne hełmy» to siły pokojowe ONZ, NATO czy UE?";"ONZ";"ONZ"
"jak należy pisać słowo «Europarlament» — wielką czy małą literą?";"Wielką";"Język Polski"
"jak — według Kadłubka — miała na imię córka Kraka?";"Wanda";"Historia Polski"
"który polski banknot obiegowy ma najwyższy nominał?";"200 zł";"Waluty Świata"
"ATP to ranking zawodników której dyscypliny?";"Tenisa ziemnego";"Sport"
"w którym serialu o lekarzach w rolę dra Rossa wcielił się George Clooney?";"«Ostry dyżur»";"Telewizja"
"z iloma państwami granicę lądową ma Korea Południowa?";"Z jednym";"Geografia Polityczna"
"którą godzinę nazywa się «godziną duchów»?";"Północ";"Tradycje i Zwyczaje"
"jak nazywa się pomarańczowe warzywo korzeniowe o dużej zawartości β-karotenu?";"Marchew";"Botanika"
"z którego języka pochodzi słowo «gratis»?";"Z łaciny";"Języki"
"czy broń biologiczna zalicza się do broni masowego rażenia?";"TAK";"Broń"
"w co Midas zamieniał wszystko, czego dotknął?";"W złoto";"Mitologia Grecka i Rzymska"
"kto jest autorem XIX-wiecznych rysunków «Poczet królów i książąt polskich»?";"Jan Matejko";"Malarstwo, Rzeźba, Architektura"
"czy modliszka jest owadem?";"TAK";"Zoologia"
"w którym zespole grają Jan Borysewicz i Janusz Panasewicz?";"Lady Pank";"Muzyka Polska"
"czyje «jajo» podrzucamy komuś, zrzucając na niego niemiłe obowiązki?";"Kukułcze";"Powiedzenia i Przysłowia"
"jak nazywa się pierwszy przypadek polskiej deklinacji?";"Mianownik";"Język Polski"
"jak miała na imię uczennica Pierre’a Abelarda, w której się kochał?";"Heloiza";"Historia Średniowiecza"
"czy Pismo Święte zawiera Księgę Liczb?";"TAK";"Biblia: Stary i Nowy Testament"
"w którym roku zrzucono bomby atomowe na Hiroszimę i Nagasaki?";"1945";"II Wojna Światowa"
"czy przyspieszenie grawitacyjne na wszystkich planetach Układu Słonecznego jest takie samo?";"NIE";"Astronomia i Astrologia"
"w którym województwie leży Żelazowa Wola?";"Mazowieckim";"Polska: Geografia"
"jakim produktem spożywczym jest krupczatka?";"Mąką";"Dania i Napoje"
"jak miał na imię Winicjusz — bohater «Quo vadis»?";"Marek";"Sienkiewicz Henryk"
"kto jest najwyższym zwierzchnikiem Sił Zbrojnych RP?";"Prezydent";"Polska: Polityka i Gospodarka"
"jak nazywa się formacja wojskowa strzegąca papieża?";"Gwardia Szwajcarska";"Armie Świata"
"czy czerń jest kolorem żałoby we wszystkich kulturach?";"Nie";"Etnografia"
"w którym wieku skonstruowano pierwszy silnik Diesla?";"W XIX w.";"Historia techniki"
